problem_id,run_name,status,raw_path,clean_path,kernel_path,meta_path,extraction_success,output_length,error_message
1,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_1_raw.txt,runs/qwen3_8b_nothink/level_1_problem_1_clean.txt,runs/qwen3_8b_nothink/level_1_problem_1_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_1_meta.json,True,1920,
2,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_2_raw.txt,runs/qwen3_8b_nothink/level_1_problem_2_clean.txt,runs/qwen3_8b_nothink/level_1_problem_2_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_2_meta.json,True,2772,
3,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_3_raw.txt,runs/qwen3_8b_nothink/level_1_problem_3_clean.txt,runs/qwen3_8b_nothink/level_1_problem_3_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_3_meta.json,False,16021,
4,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_4_raw.txt,runs/qwen3_8b_nothink/level_1_problem_4_clean.txt,runs/qwen3_8b_nothink/level_1_problem_4_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_4_meta.json,True,2193,
5,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_5_raw.txt,runs/qwen3_8b_nothink/level_1_problem_5_clean.txt,runs/qwen3_8b_nothink/level_1_problem_5_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_5_meta.json,True,2002,
51,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_51_raw.txt,runs/qwen3_8b_nothink/level_1_problem_51_clean.txt,runs/qwen3_8b_nothink/level_1_problem_51_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_51_meta.json,True,2724,
52,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_52_raw.txt,runs/qwen3_8b_nothink/level_1_problem_52_clean.txt,runs/qwen3_8b_nothink/level_1_problem_52_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_52_meta.json,True,3875,
53,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_53_raw.txt,runs/qwen3_8b_nothink/level_1_problem_53_clean.txt,runs/qwen3_8b_nothink/level_1_problem_53_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_53_meta.json,True,4210,
54,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_54_raw.txt,runs/qwen3_8b_nothink/level_1_problem_54_clean.txt,runs/qwen3_8b_nothink/level_1_problem_54_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_54_meta.json,True,7688,
55,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_55_raw.txt,runs/qwen3_8b_nothink/level_1_problem_55_clean.txt,runs/qwen3_8b_nothink/level_1_problem_55_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_55_meta.json,True,5974,
