problem_id,run_name,status,raw_path,clean_path,kernel_path,meta_path,extraction_success,output_length,error_message
1,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_1_raw.txt,runs/qwen3_8b_think/level_1_problem_1_clean.txt,runs/qwen3_8b_think/level_1_problem_1_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_1_meta.json,True,57886,
2,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_2_raw.txt,runs/qwen3_8b_think/level_1_problem_2_clean.txt,runs/qwen3_8b_think/level_1_problem_2_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_2_meta.json,True,41606,
3,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_3_raw.txt,runs/qwen3_8b_think/level_1_problem_3_clean.txt,runs/qwen3_8b_think/level_1_problem_3_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_3_meta.json,False,59963,
4,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_4_raw.txt,runs/qwen3_8b_think/level_1_problem_4_clean.txt,runs/qwen3_8b_think/level_1_problem_4_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_4_meta.json,True,48517,
5,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_5_raw.txt,runs/qwen3_8b_think/level_1_problem_5_clean.txt,runs/qwen3_8b_think/level_1_problem_5_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_5_meta.json,True,18467,
6,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_6_raw.txt,runs/qwen3_8b_think/level_1_problem_6_clean.txt,runs/qwen3_8b_think/level_1_problem_6_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_6_meta.json,True,52426,
7,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_7_raw.txt,runs/qwen3_8b_think/level_1_problem_7_clean.txt,runs/qwen3_8b_think/level_1_problem_7_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_7_meta.json,True,37757,
8,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_8_raw.txt,runs/qwen3_8b_think/level_1_problem_8_clean.txt,runs/qwen3_8b_think/level_1_problem_8_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_8_meta.json,True,28390,
9,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_9_raw.txt,runs/qwen3_8b_think/level_1_problem_9_clean.txt,runs/qwen3_8b_think/level_1_problem_9_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_9_meta.json,True,37996,
10,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_10_raw.txt,runs/qwen3_8b_think/level_1_problem_10_clean.txt,runs/qwen3_8b_think/level_1_problem_10_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_10_meta.json,True,54844,
11,qwen3_8b_think,ok,runs/qwen3_8b_think/level_1_problem_11_raw.txt,runs/qwen3_8b_think/level_1_problem_11_clean.txt,runs/qwen3_8b_think/level_1_problem_11_sample_0_kernel.py,runs/qwen3_8b_think/level_1_problem_11_meta.json,True,46227,
