problem_id,run_name,status,raw_path,clean_path,kernel_path,meta_path,extraction_success,output_length,error_message
1,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_1_raw.txt,runs/qwen3_8b_nothink/level_1_problem_1_clean.txt,runs/qwen3_8b_nothink/level_1_problem_1_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_1_meta.json,True,2098,
2,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_2_raw.txt,runs/qwen3_8b_nothink/level_1_problem_2_clean.txt,runs/qwen3_8b_nothink/level_1_problem_2_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_2_meta.json,False,16121,
3,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_3_raw.txt,runs/qwen3_8b_nothink/level_1_problem_3_clean.txt,runs/qwen3_8b_nothink/level_1_problem_3_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_3_meta.json,True,2620,
4,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_4_raw.txt,runs/qwen3_8b_nothink/level_1_problem_4_clean.txt,runs/qwen3_8b_nothink/level_1_problem_4_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_4_meta.json,True,2079,
5,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_5_raw.txt,runs/qwen3_8b_nothink/level_1_problem_5_clean.txt,runs/qwen3_8b_nothink/level_1_problem_5_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_5_meta.json,True,2002,
6,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_6_raw.txt,runs/qwen3_8b_nothink/level_1_problem_6_clean.txt,runs/qwen3_8b_nothink/level_1_problem_6_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_6_meta.json,True,3129,
7,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_7_raw.txt,runs/qwen3_8b_nothink/level_1_problem_7_clean.txt,runs/qwen3_8b_nothink/level_1_problem_7_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_7_meta.json,True,2310,
8,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_8_raw.txt,runs/qwen3_8b_nothink/level_1_problem_8_clean.txt,runs/qwen3_8b_nothink/level_1_problem_8_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_8_meta.json,True,2025,
9,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_9_raw.txt,runs/qwen3_8b_nothink/level_1_problem_9_clean.txt,runs/qwen3_8b_nothink/level_1_problem_9_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_9_meta.json,True,2885,
10,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_10_raw.txt,runs/qwen3_8b_nothink/level_1_problem_10_clean.txt,runs/qwen3_8b_nothink/level_1_problem_10_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_10_meta.json,True,2285,
11,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_11_raw.txt,runs/qwen3_8b_nothink/level_1_problem_11_clean.txt,runs/qwen3_8b_nothink/level_1_problem_11_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_11_meta.json,False,12447,
12,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_12_raw.txt,runs/qwen3_8b_nothink/level_1_problem_12_clean.txt,runs/qwen3_8b_nothink/level_1_problem_12_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_12_meta.json,True,2032,
13,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_13_raw.txt,runs/qwen3_8b_nothink/level_1_problem_13_clean.txt,runs/qwen3_8b_nothink/level_1_problem_13_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_13_meta.json,True,1985,
14,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_14_raw.txt,runs/qwen3_8b_nothink/level_1_problem_14_clean.txt,runs/qwen3_8b_nothink/level_1_problem_14_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_14_meta.json,True,2652,
15,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_15_raw.txt,runs/qwen3_8b_nothink/level_1_problem_15_clean.txt,runs/qwen3_8b_nothink/level_1_problem_15_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_15_meta.json,True,1810,
16,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_16_raw.txt,runs/qwen3_8b_nothink/level_1_problem_16_clean.txt,runs/qwen3_8b_nothink/level_1_problem_16_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_16_meta.json,True,2796,
17,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_17_raw.txt,runs/qwen3_8b_nothink/level_1_problem_17_clean.txt,runs/qwen3_8b_nothink/level_1_problem_17_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_17_meta.json,False,14939,
18,qwen3_8b_nothink,ok,runs/qwen3_8b_nothink/level_1_problem_18_raw.txt,runs/qwen3_8b_nothink/level_1_problem_18_clean.txt,runs/qwen3_8b_nothink/level_1_problem_18_sample_0_kernel.py,runs/qwen3_8b_nothink/level_1_problem_18_meta.json,True,3051,
