problem_id,run_name,has_triton_jit,torch_calls_in_jit,is_valid,needs_manual_review,notes
1,qwen3_8b_nothink,True,False,True,False,
2,qwen3_8b_nothink,False,False,False,False,extraction_failed
3,qwen3_8b_nothink,True,False,True,False,
4,qwen3_8b_nothink,True,False,True,False,
5,qwen3_8b_nothink,True,False,True,False,
6,qwen3_8b_nothink,True,False,True,False,
7,qwen3_8b_nothink,True,False,True,False,
8,qwen3_8b_nothink,True,False,True,False,
9,qwen3_8b_nothink,True,False,True,False,
10,qwen3_8b_nothink,True,False,True,False,
11,qwen3_8b_nothink,False,False,False,False,extraction_failed
12,qwen3_8b_nothink,True,False,True,False,
13,qwen3_8b_nothink,True,False,True,False,
14,qwen3_8b_nothink,True,False,False,True,possible_forward_torch_fallback=torch.triu
15,qwen3_8b_nothink,True,False,True,False,
16,qwen3_8b_nothink,True,False,True,False,
17,qwen3_8b_nothink,False,False,False,False,extraction_failed
18,qwen3_8b_nothink,True,False,True,False,
19,qwen3_8b_nothink,True,False,True,False,
20,qwen3_8b_nothink,True,False,True,False,
21,qwen3_8b_nothink,True,False,True,False,
22,qwen3_8b_nothink,True,False,True,False,
23,qwen3_8b_nothink,True,False,True,False,
24,qwen3_8b_nothink,True,False,True,False,
25,qwen3_8b_nothink,True,False,True,False,
26,qwen3_8b_nothink,True,False,True,False,
27,qwen3_8b_nothink,True,False,True,False,
28,qwen3_8b_nothink,True,False,True,False,
29,qwen3_8b_nothink,True,False,True,False,
30,qwen3_8b_nothink,True,False,True,False,
31,qwen3_8b_nothink,True,False,True,False,
32,qwen3_8b_nothink,True,False,True,False,
33,qwen3_8b_nothink,True,False,True,False,
34,qwen3_8b_nothink,True,False,True,False,
35,qwen3_8b_nothink,True,False,True,False,
36,qwen3_8b_nothink,True,False,True,False,
37,qwen3_8b_nothink,True,False,True,False,
38,qwen3_8b_nothink,True,False,True,False,
39,qwen3_8b_nothink,False,False,False,False,extraction_failed
40,qwen3_8b_nothink,True,False,True,False,
41,qwen3_8b_nothink,True,False,True,False,
42,qwen3_8b_nothink,True,False,True,False,
43,qwen3_8b_nothink,True,False,True,False,
44,qwen3_8b_nothink,True,False,True,False,
45,qwen3_8b_nothink,True,False,True,False,
46,qwen3_8b_nothink,True,False,True,False,
47,qwen3_8b_nothink,True,False,True,False,
48,qwen3_8b_nothink,True,False,True,False,
49,qwen3_8b_nothink,True,False,True,False,
50,qwen3_8b_nothink,True,False,False,True,possible_forward_torch_fallback=torch.zeros
