problem_id,run_name,status,raw_path,clean_path,kernel_path,meta_path,extraction_success,output_length,error_message
1,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_1_raw.txt,runs/qwen25_coder_7b/level_1_problem_1_clean.txt,runs/qwen25_coder_7b/level_1_problem_1_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_1_meta.json,True,2121,
2,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_2_raw.txt,runs/qwen25_coder_7b/level_1_problem_2_clean.txt,runs/qwen25_coder_7b/level_1_problem_2_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_2_meta.json,True,2793,
3,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_3_raw.txt,runs/qwen25_coder_7b/level_1_problem_3_clean.txt,runs/qwen25_coder_7b/level_1_problem_3_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_3_meta.json,True,2722,
4,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_4_raw.txt,runs/qwen25_coder_7b/level_1_problem_4_clean.txt,runs/qwen25_coder_7b/level_1_problem_4_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_4_meta.json,True,3100,
5,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_5_raw.txt,runs/qwen25_coder_7b/level_1_problem_5_clean.txt,runs/qwen25_coder_7b/level_1_problem_5_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_5_meta.json,True,2381,
6,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_6_raw.txt,runs/qwen25_coder_7b/level_1_problem_6_clean.txt,runs/qwen25_coder_7b/level_1_problem_6_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_6_meta.json,True,2787,
7,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_7_raw.txt,runs/qwen25_coder_7b/level_1_problem_7_clean.txt,runs/qwen25_coder_7b/level_1_problem_7_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_7_meta.json,True,2804,
8,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_8_raw.txt,runs/qwen25_coder_7b/level_1_problem_8_clean.txt,runs/qwen25_coder_7b/level_1_problem_8_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_8_meta.json,True,2103,
9,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_9_raw.txt,runs/qwen25_coder_7b/level_1_problem_9_clean.txt,runs/qwen25_coder_7b/level_1_problem_9_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_9_meta.json,True,2160,
10,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_10_raw.txt,runs/qwen25_coder_7b/level_1_problem_10_clean.txt,runs/qwen25_coder_7b/level_1_problem_10_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_10_meta.json,True,2782,
11,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_11_raw.txt,runs/qwen25_coder_7b/level_1_problem_11_clean.txt,runs/qwen25_coder_7b/level_1_problem_11_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_11_meta.json,True,2838,
12,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_12_raw.txt,runs/qwen25_coder_7b/level_1_problem_12_clean.txt,runs/qwen25_coder_7b/level_1_problem_12_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_12_meta.json,True,2675,
13,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_13_raw.txt,runs/qwen25_coder_7b/level_1_problem_13_clean.txt,runs/qwen25_coder_7b/level_1_problem_13_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_13_meta.json,True,2237,
14,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_14_raw.txt,runs/qwen25_coder_7b/level_1_problem_14_clean.txt,runs/qwen25_coder_7b/level_1_problem_14_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_14_meta.json,True,2833,
15,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_15_raw.txt,runs/qwen25_coder_7b/level_1_problem_15_clean.txt,runs/qwen25_coder_7b/level_1_problem_15_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_15_meta.json,True,2299,
16,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_16_raw.txt,runs/qwen25_coder_7b/level_1_problem_16_clean.txt,runs/qwen25_coder_7b/level_1_problem_16_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_16_meta.json,True,2961,
17,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_17_raw.txt,runs/qwen25_coder_7b/level_1_problem_17_clean.txt,runs/qwen25_coder_7b/level_1_problem_17_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_17_meta.json,True,2804,
18,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_18_raw.txt,runs/qwen25_coder_7b/level_1_problem_18_clean.txt,runs/qwen25_coder_7b/level_1_problem_18_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_18_meta.json,True,2804,
19,qwen25_coder_7b,ok,runs/qwen25_coder_7b/level_1_problem_19_raw.txt,runs/qwen25_coder_7b/level_1_problem_19_clean.txt,runs/qwen25_coder_7b/level_1_problem_19_sample_0_kernel.py,runs/qwen25_coder_7b/level_1_problem_19_meta.json,True,2023,
